en,ja,level
accuse,訴える,4
affect,影響する,4
aid,援助／援助する,4
aim,狙い,4
ally,味方、同盟,4
appeal,懇願する,4
approve,認める,4
argue,論じる,4
arrest,逮捕する,4
authority,権威,4
betray,裏切る,4
blame,非難する,4
bleed,出血する,4
brave,勇敢な,4
bury,埋める,4
climate,気候,4
comfort,慰める,4
compromise,妥協,4
concern,（～に）関係する,4
condemn,非難する,4
congress,国会,4
consumption,消費,4
criteria,基準,4
criticize,批判する,4
crop,作物、刈り込む,4
debt,借金,4
defeat,敗北,4
denounce,公然と非難する,4
deploy,配置する,4
depression,憂鬱,4
describe,形容する,4
differ,異なる,4
diplomat,外交官,4
dismiss,解散させる、解雇する,4
duty,義務,4
elastic,ゴムひも／弾性の,4
else,ほかの,4
equate,（～と）同等に扱う,4
equipment,装備,4
estimate,見積もる,4
ethnic,民族的,4
evaporate,気化する,4
evidence,証拠,4
experiment,実験、実験する,4
fertile,肥えた,4
fierce,激しい,4
firm,安定した,4
fist,拳,4
fold,折る、折り目,4
forbid,禁じる,4
forgive,許す,4
former,前の,4
frighten,おびえさせる,4
govern,統治する,4
guess,推測する、推量,4
guilty,有罪の,4
gut,男、やつ,4
harm,危害を加える、危害,4
hollow,うつろの、くぼみ,4
hostile,敵意を持った,4
hunger,飢餓、飢える,4
infect,感染させる,4
inject,注射する,4
insane,狂気の,4
inspect,検査する,4
insult,侮辱する、侮辱,4
intense,猛烈な,4
interfere,干渉する,4
invent,発明する,4
investigate,調査する,4
involve,関係させる,4
jury,陪審（員）,4
lack,欠く,4
lay,置く,4
lone,独りの,4
mercy,慈悲,4
mob,暴徒,4
nerve,神経,4
obey,従う,4
occupy,占領する,4
oppress,圧迫する,4
oust,追い払う,4
parcel,小荷物,4
parliament,国会,4
plenty,十分な、十分,4
possess,所有する,4
postpone,延期する,4
pour,流す・流れる,4
praise,褒める、賛美,4
prevent,防ぐ,4
prove,証明する,4
punish,処罰する,4
raid,襲撃、襲撃する,4
range,範囲、並べる,4
resign,引退する・放棄する,4
restrain,抑える,4
revolt,反抗する、反対,4
reward,報酬、報いる,4
rub,こする、摩擦,4
seize,つかむ,4
severe,厳しい,4
sneeze,くしゃみする、くしゃみ,4
society,社会,4
soil,土,4
struggle,争う・もがく、闘争,4
suppose,仮定する,4
suppress,鎮圧する,4
surround,囲む,4
swallow,飲み込む、飲み込むこと,4
swear,誓う・ののしる,4
tear,破る、涙,4
threaten,脅す,4
thus,したがって・だから,4
tin,錫、缶詰にする,4
treason,反逆（罪）,4
treat,扱う・治す、うれしいこと,4
treaty,条約,4
tribe,部族,4
urge,駆り立てる、衝動,4
vary,変更する,4
veto,拒否する、拒否権,4
vicious,邪悪な,4
wage,給料、運動を行う,4
wealth,富,4
well,井戸、うまく、元気で,4
wheat,小麦,4
withdraw,退く、撤退,4
worth,価値がある、価値,4
wound,傷、傷つける,4
wreck,破壊する、破壊,4
accept,受け入れる,3
according,（～に）よれば,3
account,会計,3
achieve,達成する,3
across,横断して,3
act,行う／行為,3
adapt,適応させる,3
add,加える,3
admit,承認する,3
advertisement,広告,3
advise,勧める、助言する,3
afraid,恐れる,3
against,反対する,3
agency,代理店,3
agree,賛成する,3
alive,生きている,3
allow,許す,3
along,（～に）沿って,3
among,の中に,3
amount,総計,3
announce,発表する,3
apartment,アパート,3
apologize,謝る,3
appear,現れる,3
apply,適用する,3
appoint,指名する,3
army,軍隊,3
assist,手伝う,3
attach,貼り付ける,3
attempt,試みる,3
attend,出席する,3
attention,注意,3
automatic,自動的な,3
avoid,避ける,3
awake,目が覚める,3
award,与える,3
away,離れた,3
ballot,一票,3
ban,禁止する,3
bear,耐える,3
bend,曲げる,3
beside,そばに,3
bit,少し,3
blind,盲目,3
blow,殴打／吹く,3
boycott,排斥する,3
breathe,呼吸する,3
brief,短時間,3
broad,広い,3
broadcast,放送,3
burst,破裂する,3
carriage,客車,3
celebrate,祝う,3
cell,細胞,3
certain,確かな,3
chase,追跡する,3
cheer,応援する,3
chemical,化学製品／化学の,3
chest,胸,3
chief,長官,3
civilian,民間人,3
claim,要求する,3
clam,静かな,3
clash,衝突する,3
colony,植民地,3
combine,結合する,3
command,命令する,3
comment,論評する,3
committee,委員会,3
common,共通の、普通の,3
communicate,伝達する,3
community,コミュニティ,3
compete,競争する,3
complete,完成する,3
condition,条件,3
conference,会議,3
confirm,確認する,3
congratulate,祝う,3
connect,つなぐ,3
consider,熟慮する,3
contact,接触,3
contain,含む,3
continent,大陸,3
cooperate,協力する,3
cost,費用,3
cotton,綿,3
course,方向,3
court,裁判所,3
cover,覆う,3
cow,牛,3
crash,ぶつかる,3
create,創る,3
credit,クレジット、信用,3
crew,乗組員,3
crime,犯罪,3
